Date,Wake-up Time,Sleep Duration (hrs),Meditation (mins),Exercise (mins),Breakfast Type,Journaling,Activity Score,prep_time,predict_model
2024-04-02 10:21:52.870632,285,7.8,0,20,4,1,6,120,0
2024-04-10 10:21:52.870632,390,6.9,30,0,1,1,5,180,0
2024-04-13 10:21:52.870632,570,6.1,5,30,2,1,5,60,0
2024-04-18 10:21:52.870632,585,6.9,20,50,3,0,7,60,2
2024-04-21 10:21:52.870632,315,7.1,15,60,2,0,6,120,2
2024-04-22 10:21:52.870632,270,7.3,25,10,4,1,5,180,0
2024-04-30 10:21:52.870632,495,6.1,20,0,1,0,5,60,0
2024-05-02 10:21:52.870632,390,7.1,15,60,4,1,6,180,2
2024-05-07 10:21:52.870632,285,6.4,30,30,0,0,6,180,0
2024-05-11 10:21:52.870632,330,6.7,5,60,3,0,6,180,0
2024-05-13 10:21:52.870632,360,6.4,0,30,1,1,6,60,0
2024-05-15 10:21:52.870632,420,6.9,30,40,0,0,8,120,2
2024-05-19 10:21:52.870632,420,6.9,25,60,1,1,7,120,0
2024-05-23 10:21:52.870632,465,6.3,10,60,0,1,7,180,0
2024-06-03 10:21:52.870632,285,6.7,25,30,3,1,7,180,0
2024-06-07 10:21:52.870632,450,8.1,5,10,3,1,6,60,2
2024-06-11 10:21:52.870632,390,7.8,0,50,1,1,6,120,2
2024-06-12 10:21:52.870632,585,7.2,30,60,3,0,5,120,2
2024-06-16 10:21:52.870632,570,6.7,15,60,2,0,6,120,0
2024-06-21 10:21:52.870632,525,7.1,20,0,1,0,5,60,0
2024-06-23 10:21:52.870632,330,7.2,30,60,3,0,5,120,2
2024-06-24 10:21:52.870632,555,6.7,30,30,4,1,8,60,0
2024-06-30 10:21:52.870632,330,6.1,10,30,3,1,5,180,0
2024-07-03 10:21:52.870632,585,6.4,0,40,4,1,5,60,0
2024-07-06 10:21:52.870632,240,7.1,10,60,0,0,6,60,0
2024-07-07 10:21:52.870632,435,6.9,25,0,2,1,5,180,0
2024-07-08 10:21:52.870632,345,8.1,0,40,1,1,5,180,2
2024-07-13 10:21:52.870632,285,6.1,25,0,4,1,6,180,0
2024-07-14 10:21:52.870632,390,7.8,20,0,2,1,5,60,2
2024-07-17 10:21:52.870632,345,7.5,0,20,0,1,5,120,0
2024-07-20 10:21:52.870632,345,6.3,0,40,3,0,5,60,0
2024-07-23 10:21:52.870632,570,7.9,25,0,3,0,5,120,2
2024-07-25 10:21:52.870632,390,6.4,10,50,4,0,5,60,0
2024-07-29 10:21:52.870632,330,6.5,20,60,3,0,6,120,0
2024-07-30 10:21:52.870632,480,8.4,25,20,4,1,6,120,2
2024-08-01 10:21:52.870632,270,6.9,0,30,3,1,5,120,0
2024-08-04 10:21:52.870632,390,6.5,5,50,3,1,5,180,0
2024-08-05 10:21:52.870632,405,7.5,25,20,2,0,5,60,2
2024-08-09 10:21:52.870632,345,6.9,25,0,3,0,6,60,2
2024-08-13 10:21:52.870632,270,6.7,10,0,4,1,6,120,0
2024-08-15 10:21:52.870632,465,6.1,5,60,3,1,5,120,0
2024-08-20 10:21:52.870632,450,6.0,20,50,1,1,6,120,0
2024-08-26 10:21:52.870632,525,6.8,0,10,2,1,6,120,0
2024-08-31 10:21:52.870632,240,8.2,10,10,1,1,6,180,0
2024-09-03 10:21:52.870632,435,7.1,25,40,2,0,6,180,2
2024-09-04 10:21:52.870632,240,7.5,10,50,0,1,5,120,2
2024-09-06 10:21:52.870632,540,6.6,20,10,0,1,5,60,0
2024-09-14 10:21:52.870632,330,6.4,30,10,4,0,5,60,0
2024-09-18 10:21:52.870632,255,6.1,15,50,4,1,7,60,0
2024-09-23 10:21:52.870632,390,7.2,30,0,2,0,5,120,2
2024-09-25 10:21:52.870632,585,6.4,5,50,3,1,5,120,0
2024-09-30 10:21:52.870632,300,6.3,10,30,3,0,5,120,0
2024-10-02 10:21:52.870632,540,8.9,0,20,0,0,5,180,2
2024-10-04 10:21:52.870632,435,7.0,25,10,4,0,5,120,2
2024-10-07 10:21:52.870632,570,8.2,0,10,0,1,6,120,2
2024-10-08 10:21:52.870632,585,8.6,25,20,1,1,6,60,2
2024-10-11 10:21:52.870632,300,7.2,5,60,2,0,6,120,2
2024-10-12 10:21:52.870632,435,6.4,0,10,2,0,6,180,0
2024-10-17 10:21:52.870632,255,6.8,15,10,1,0,6,60,0
2024-10-18 10:21:52.870632,405,7.8,10,60,2,0,6,60,2
2024-10-20 10:21:52.870632,585,8.5,0,20,3,0,6,120,2
2024-10-25 10:21:52.870632,300,6.7,25,60,2,0,7,120,0
2024-11-05 10:21:52.870632,495,7.3,15,20,1,0,6,180,2
2024-11-06 10:21:52.870632,570,6.8,15,60,0,0,8,180,0
2024-11-12 10:21:52.870632,570,6.5,10,30,2,0,6,120,0
2024-11-20 10:21:52.870632,255,8.3,0,10,4,1,5,180,0
2024-11-27 10:21:52.870632,450,6.6,15,50,1,1,5,180,0
2024-12-01 10:21:52.870632,390,6.8,30,20,2,1,6,180,0
2024-12-02 10:21:52.870632,255,6.9,25,50,4,0,6,180,2
2024-12-03 10:21:52.870632,330,6.4,10,60,2,1,6,60,0
2024-12-04 10:21:52.870632,525,7.6,5,30,1,0,6,60,2
2024-12-06 10:21:52.870632,390,7.5,5,50,4,0,5,120,2
2024-12-11 10:21:52.870632,270,7.1,30,40,2,0,5,60,2
2024-12-13 10:21:52.870632,390,6.3,30,60,4,0,7,60,0
2024-12-18 10:21:52.870632,330,7.8,0,10,4,0,6,120,2
2024-12-19 10:21:52.870632,240,6.2,20,50,3,0,6,120,0
2024-12-25 10:21:52.870632,285,7.9,20,0,1,1,6,180,0
2024-12-29 10:21:52.870632,270,6.0,15,10,2,1,5,180,0
2025-01-01 10:21:52.870632,555,7.5,15,40,4,0,6,180,2
2025-01-03 10:21:52.870632,345,6.9,5,30,0,0,5,120,0
2025-01-04 10:21:52.870632,570,7.6,15,10,4,1,6,180,2
2025-01-06 10:21:52.870632,345,8.0,30,0,1,1,6,60,2
2025-01-09 10:21:52.870632,375,6.1,0,0,2,1,5,60,0
2025-01-12 10:21:52.870632,555,7.1,30,0,4,1,5,120,0
2025-01-15 10:21:52.870632,240,6.9,20,30,2,1,5,120,0
2025-01-18 10:21:52.870632,315,7.4,10,10,1,1,6,120,0
2025-01-19 10:21:52.870632,390,7.6,30,0,0,1,6,60,2
2025-01-20 10:21:52.870632,450,6.9,10,60,0,1,7,180,0
2025-01-22 10:21:52.870632,480,7.5,0,10,1,1,6,60,2
2025-01-24 10:21:52.870632,495,7.0,0,20,4,0,5,60,0
2025-02-02 10:21:52.870632,300,7.6,15,60,3,0,6,120,2
2025-02-07 10:21:52.870632,420,6.0,10,60,2,0,7,180,0
2025-02-11 10:21:52.870632,345,7.4,25,60,1,0,6,60,0
2025-02-16 10:21:52.870632,480,6.5,25,10,4,0,7,120,0
2025-02-18 10:21:52.870632,465,6.4,25,0,2,1,6,120,0
2025-02-23 10:21:52.870632,315,7.7,10,10,4,0,5,60,2
2025-02-25 10:21:52.870632,510,6.2,10,40,3,1,7,120,0
2025-02-27 10:21:52.870632,570,7.1,10,10,3,0,5,120,2
2025-02-28 10:21:52.870632,285,7.6,15,0,2,1,5,120,0
2025-03-03 10:21:52.870632,390,6.5,30,40,2,0,7,180,0
2025-03-06 10:21:52.870632,420,6.3,15,10,1,0,5,60,0
2025-03-09 10:21:52.870632,465,6.0,20,20,0,0,5,120,0
2025-03-10 10:21:52.870632,285,6.2,30,0,3,1,6,60,2
2025-03-21 10:21:52.870632,285,7.8,25,20,2,1,5,60,2
2025-03-22 10:21:52.870632,465,7.4,15,50,4,1,5,60,2
2025-03-28 10:21:52.870632,255,7.3,15,20,0,1,6,180,0
2025-03-31 10:21:52.870632,285,6.3,30,30,1,0,6,180,0
2025-04-02 10:21:52.870632,360,7.9,5,50,1,0,6,120,2
2025-04-04 10:21:52.870632,570,6.7,10,60,1,0,8,120,0
2025-04-10 10:21:52.870632,240,7.2,0,30,0,0,5,180,0
2025-04-11 10:21:52.870632,300,6.9,0,0,4,0,5,180,0
2025-04-13 10:21:52.870632,525,6.9,20,30,1,0,8,180,0
2025-04-18 10:21:52.870632,435,6.5,5,40,3,0,7,180,0
2025-04-19 10:21:52.870632,435,7.2,10,40,0,0,5,180,2
2025-04-20 10:21:52.870632,450,6.9,25,50,1,1,5,120,0
2025-04-21 10:21:52.870632,435,7.3,5,0,0,1,5,180,0
2025-04-30 10:21:52.870632,525,6.3,5,0,2,1,6,180,0
2025-05-03 10:21:52.870632,375,6.6,0,40,0,0,6,120,0
2025-05-07 10:21:52.870632,315,7.1,20,0,1,0,5,180,0
2025-05-14 10:21:52.870632,360,6.6,15,40,4,1,7,120,0
2025-05-19 10:21:52.870632,525,6.7,15,50,4,1,5,60,0
2025-05-29 10:21:52.870632,330,6.9,30,20,0,0,7,120,0
2025-06-04 10:21:52.870632,510,7.7,5,0,4,1,6,180,2
2025-06-08 10:21:52.870632,435,6.3,25,40,1,0,5,60,0
2025-06-15 10:21:52.870632,570,6.5,30,40,2,0,7,180,0
2025-06-17 10:21:52.870632,285,6.7,15,40,1,1,5,180,0
2025-06-21 10:21:52.870632,525,7.3,10,10,1,1,6,120,2
2025-06-23 10:21:52.870632,450,6.7,30,50,0,1,6,120,0
2025-06-24 10:21:52.870632,390,8.3,0,30,0,1,6,180,2
2025-06-28 10:21:52.870632,465,6.9,5,50,1,0,6,180,2
2025-07-03 10:21:52.870632,510,7.4,20,40,4,1,6,60,2
2025-07-11 10:21:52.870632,510,6.1,15,50,4,1,5,180,0
2025-07-16 10:21:52.870632,390,7.4,20,10,1,0,5,180,0
2025-07-17 10:21:52.870632,450,8.1,0,50,1,0,6,60,2
2025-07-19 10:21:52.870632,450,6.3,5,40,0,0,6,180,0
